"id","date","type","seller","description","price","quantity","currency","created_at","updated_at","company_expense","tax","expense_category_id","paid_by_others"
"38","2022-05-12","Market","Şok","Market alışverişi.","33.65","1.00","₺","2022-05-14 07:07:23","2022-05-14 07:07:23",NULL,NULL,"1",NULL
"39","2022-05-15","Fuel","Lukoil","Kiralık araç yakıtı.","21.12","37.41","₺","2022-05-15 08:39:52","2022-05-15 08:39:52",NULL,NULL,"2",NULL
"40","2022-05-17","Meal","Popeyes","Akşam yemeği.","34.99","1.00","₺","2022-05-17 19:21:47","2022-05-17 19:21:47",NULL,NULL,"3",NULL
"41","2022-05-17","Collection","D&R","Beyhan Budak - Mutluluğu Kaybettiğin Yerde Arama","35.00","1.00","₺","2022-05-17 19:23:00","2022-05-17 19:23:00",NULL,NULL,"4",NULL
"42","2022-05-17","Barber","Murat Söyük","Saç tıraşı.","80.00","1.00","₺","2022-05-17 19:34:23","2022-05-17 19:34:23",NULL,NULL,"12",NULL
"43","2022-05-14","Coffee","Ramada","Amerikano","27.00","1.00","₺","2022-05-17 19:36:08","2022-05-17 19:36:08",NULL,NULL,"11",NULL
"44","2022-05-16","Meal","Asrın Kardeşler","Tolga Karka, Şebnem ve Esra ile öğle yemeği.","290.00","1.00","₺","2022-05-17 19:37:37","2022-05-17 19:37:37",NULL,NULL,"3",NULL
"45","2022-05-15","Meal","Maçka İşkembe","Kelle paça çorbası.","30.00","1.00","₺","2022-05-17 19:39:32","2022-05-17 19:39:32",NULL,NULL,"3",NULL
"46","2022-05-15","Alcohol","262","Alkolsüz içecek ve çerez.","50.00","1.00","₺","2022-05-17 19:40:45","2022-05-17 19:40:45",NULL,NULL,"10",NULL
"47","2022-05-15","Meal","Pilavcı Baba","Pilav üstü tavuk.","25.00","1.00","₺","2022-05-17 19:41:53","2022-05-17 19:41:53",NULL,NULL,"3",NULL
"48","2022-05-15","Collection","İthaki Yayınları","Bilim kurgu kitapları. (7 kitap)","212.00","1.00","₺","2022-05-17 19:44:29","2022-05-17 19:44:29",NULL,NULL,"4",NULL
"49","2022-05-15","Collection","Hayy Kitap","Oğuzhan Uğur - Mevzular","17.00","1.00","₺","2022-05-17 19:45:58","2022-05-17 19:45:58",NULL,NULL,"4",NULL
"50","2022-05-14","Market","A101","Market alışverişi.","388.25","1.00","₺","2022-05-17 19:46:55","2022-05-17 19:46:55",NULL,NULL,"1",NULL
"51","2022-05-14","Market","A101","Market alışverişi.","62.57","1.00","₺","2022-05-17 19:47:29","2022-05-17 19:47:29",NULL,NULL,"1",NULL
"52","2022-05-14","Collection","Türk Tarih Kurumu","Tarih kitapları.","97.00","1.00","₺","2022-05-17 19:48:29","2022-05-17 19:48:29",NULL,NULL,"4",NULL
"53","2022-05-14","Collection","Kronik Kitap","Doğan Cüceloğlu kitapları (5 kitap)","150.00","1.00","₺","2022-05-17 19:49:29","2022-05-17 19:49:29",NULL,NULL,"4",NULL
"54","2022-05-18","Market","Bim","Market alışverişi.","144.50","1.00","₺","2022-05-18 08:18:00","2022-05-18 08:18:00",NULL,NULL,"1",NULL
"55","2022-05-20","Meal","Burger Amca","Burger Zero","67.90","1.00","₺","2022-05-20 10:41:58","2022-05-20 10:41:58",NULL,NULL,"3",NULL
"56","2022-05-20","Health","Zeynep Eczanesi","Burun sprey ve kremi.","111.15","1.00","₺","2022-05-20 10:42:36","2022-05-20 10:42:36",NULL,NULL,"9",NULL
"57","2022-05-20","Fuel","Yılmaz Petrol","Kiralık araç yakıtı.","23.87","35.62","₺","2022-05-20 13:24:54","2022-05-20 13:24:54",NULL,NULL,"2",NULL
"58","2022-05-20","Fuel","Saral Nakliyat","Mustafa'nın aracına yakıt.","22.73","45.56","₺","2022-05-21 09:25:03","2022-05-21 09:25:03",NULL,NULL,"2",NULL
"59","2022-05-20","Tax-Penalty Charge","İzmit Belediyesi","Ev vergileri Myra ve İzmit.","550.00","1.00","₺","2022-05-21 09:26:13","2022-05-21 09:26:13",NULL,NULL,"13",NULL
"60","2022-05-21","Benefaction","Pilavcı","Melike düğün için pilav parası.","550.00","1.00","₺","2022-05-21 09:26:55","2022-05-21 09:26:55",NULL,NULL,"7",NULL
"61","2022-05-21","Meal","Ramada","Sezar Salata","75.00","1.00","₺","2022-05-22 21:25:19","2022-05-22 21:25:19",NULL,NULL,"3",NULL
"62","2022-05-21","Alcohol","Ramada","Bomonti Filtresiz","57.00","2.00","₺","2022-05-22 21:25:51","2022-05-22 21:25:51",NULL,NULL,"10",NULL
"63","2022-05-23","Transportation","Tramvay","Tramvay","4.00","2.00","₺","2022-05-23 11:20:40","2022-05-23 11:20:40",NULL,NULL,"6",NULL
"64","2022-05-23","Meal","İzmit Simit Fırını","Çay sandiviç limonata.","40.00","1.00","₺","2022-05-23 12:14:51","2022-05-23 12:14:51",NULL,NULL,"3",NULL
"65","2022-05-24","Hobby","Ivır Zıvır","Gitar, amfi ve ekipmanları.","5150.00","1.00","₺","2022-05-24 11:03:06","2022-05-24 11:03:06",NULL,NULL,"14",NULL
"66","2022-05-24","Meal","Burger King","Akşam yemeği.","64.00","1.00","₺","2022-05-24 17:37:44","2022-05-24 17:37:44",NULL,NULL,"3",NULL
"67","2022-05-24","Collection","Oyuncak Makinesi","Eğlence","1.00","2.00","₺","2022-05-24 17:38:42","2022-05-24 17:38:42",NULL,NULL,"4",NULL
"68","2022-05-24","Transportation","Tramvay","Şehiriçi gezmek.","4.00","2.00","₺","2022-05-24 17:39:17","2022-05-24 17:39:17",NULL,NULL,"6",NULL
"69","2022-05-24","Collection","Arasta Kitapçı","5 adet kitap.","55.00","1.00","₺","2022-05-24 17:40:35","2022-05-24 17:40:35",NULL,NULL,"4",NULL
"70","2022-05-27","Hobby","Ivır Zıvır","Gitar dersi 1 aylık.","125.00","4.00","₺","2022-05-28 12:43:41","2022-05-28 12:43:41",NULL,NULL,"14",NULL
"71","2022-05-29","Market","A101","Market alışverişi.","43.75","1.00","₺","2022-05-29 07:29:00","2022-05-29 07:29:00",NULL,NULL,"1",NULL
"72","2022-05-30","Health","Sena Çilingir","Ayşe seans ücreti.","400.00","1.00","₺","2022-05-30 04:41:49","2022-05-30 04:41:49",NULL,NULL,"9",NULL
"73","2022-05-29","Market","Kaptan Mini Market","Çikolata cips.","24.00","1.00","₺","2022-05-30 04:42:58","2022-05-30 04:42:58",NULL,NULL,"1",NULL
"74","2022-05-29","Coffee","Monster Shake","Limonta çay.","17.00","1.00","₺","2022-05-30 04:43:53","2022-05-30 04:43:53",NULL,NULL,"11",NULL
"75","2022-05-29","Coffee","Kahve Dükkanı","Çay kahve.","20.00","1.00","₺","2022-05-30 04:50:46","2022-05-30 04:50:46",NULL,NULL,"11",NULL
"76","2022-05-30","Meal","Keyfi İkram","Melike ile akşam yemeği.","150.00","1.00","₺","2022-05-30 04:51:29","2022-05-30 04:51:29",NULL,NULL,"3",NULL
"77","2022-06-01","Alcohol","262 Live","2 Bira","107.00","1.00","₺","2022-06-02 10:06:14","2022-06-02 10:06:14",NULL,NULL,"10",NULL
"78","2022-06-01","Meal","Serbestler","dondurma.","12.00","1.00","₺","2022-06-02 10:06:56","2022-06-02 10:06:56",NULL,NULL,"3",NULL
"79","2022-05-31","Meal","North Shield","Nurpelin ile akşam yemeği.","339.00","1.00","₺","2022-06-02 10:07:45","2022-06-02 10:07:45",NULL,NULL,"3",NULL
"80","2022-06-01","Fuel","Opet","Mustafa'nın aracına akaryakıt.","25.04","28.75","₺","2022-06-02 10:08:59","2022-06-02 10:08:59",NULL,NULL,"2",NULL
"81","2022-06-02","Market","Pideci","Teknisyen ekip ile öğle yemeği.","470.00","1.00","₺","2022-06-02 10:09:49","2022-06-02 10:09:49",NULL,NULL,"1",NULL
"82","2022-06-03","Coffee","VKV","Ekiptekilerle Türk kahvesi.","54.40","1.00","₺","2022-06-03 13:28:45","2022-06-03 13:28:45",NULL,NULL,"11",NULL
"83","2022-06-06","Health","Sena Çilingir","Ayşe seans.","400.00","1.00","₺","2022-06-06 07:28:29","2022-06-06 07:28:29",NULL,NULL,"9",NULL
"84","2022-06-05","Meal","Packet Burger","Burger akşam yemeği.","59.00","1.00","₺","2022-06-06 09:32:30","2022-06-06 09:32:30",NULL,NULL,"3",NULL
"85","2022-06-06","Market","Galeri 10","Ali'den 2011 Ford Fiesta alındı.","227000.00","1.00","₺","2022-06-06 10:10:29","2022-06-06 10:10:29",NULL,NULL,"1",NULL
"86","2022-06-06","Tax-Penalty Charge","Devlet","Yeni aracım için 41 Plaka parası","140.00","1.00","₺","2022-06-06 13:45:06","2022-06-06 13:45:06",NULL,NULL,"13",NULL
"87","2022-06-06","Tax-Penalty Charge","Noter","Araç satış noter masrafları.","393.95","1.00","₺","2022-06-06 13:45:56","2022-06-06 13:45:56",NULL,NULL,"13",NULL
"88","2022-06-06","Fuel","Aytemiz","121250. km akaryakıt.","26.27","40.30","₺","2022-06-06 15:14:11","2022-06-06 15:14:11",NULL,NULL,"2",NULL
"89","2022-06-04","Clothes","Koton","2 adet T-shirt.","209.98","1.00","₺","2022-06-07 18:05:59","2022-06-07 18:05:59",NULL,NULL,"15",NULL
"90","2022-06-07","Meal","Köfteci Yusuf","Akşam yemeği.","54.00","1.00","₺","2022-06-07 19:24:31","2022-06-07 19:24:31",NULL,NULL,"3",NULL
"91","2022-06-07","Fuel","Opet","121327. km akaryakıt.","26.27","4.57","₺","2022-06-07 19:45:55","2022-06-07 19:45:55",NULL,NULL,"2",NULL
"92","2022-06-09","Meal","Tuzla Balıkçısı","Ayşe ile akşam yemeği.","338.00","1.00","₺","2022-06-10 06:04:51","2022-06-10 06:04:51",NULL,NULL,"3",NULL
"93","2022-06-10","Meal","Profiterol Atölyesi","Ayşe ile tatlı.","67.00","1.00","₺","2022-06-10 06:05:37","2022-06-10 06:05:37",NULL,NULL,"3",NULL
"94","2022-06-10","Fuel","Opet","121643. km akaryakıt.","28.48","20.37","₺","2022-06-10 20:59:49","2022-06-10 20:59:49",NULL,NULL,"2",NULL
"95","2022-06-12","Meal","Çıtır Kokoreç","Ayşe ve Mustafa ile akşam yemeği.","174.00","1.00","₺","2022-06-12 16:25:41","2022-06-12 16:25:41",NULL,NULL,"3",NULL
"96","2022-06-12","Market","A101","Soda Kitap","58.30","1.00","₺","2022-06-12 16:27:04","2022-06-12 16:27:04",NULL,NULL,"1",NULL
"97","2022-06-12","Market","Yunus Market","Market alışverişi.","90.71","1.00","₺","2022-06-12 16:27:41","2022-06-12 16:27:41",NULL,NULL,"1",NULL
"98","2022-06-13","Meal","Antakya Dürümcüsü","Ayşe ile akşam yemeği","66.00","1.00","₺","2022-06-13 16:29:55","2022-06-13 16:29:55",NULL,NULL,"3",NULL
"99","2022-06-13","Market","Çakmak Market","Rebull kolonya","66.00","1.00","₺","2022-06-13 16:33:36","2022-06-13 16:33:36",NULL,NULL,"1",NULL
"100","2022-06-13","Fuel","Opet","121xxx. km akaryakıt.","28.48","20.37","₺","2022-06-13 21:01:55","2022-06-13 21:01:55",NULL,NULL,"2",NULL
"101","2022-06-13","Coffee","Yemekhane","100 TL şirket kartıma çay kahve için yüklendi.","100.00","1.00","₺","2022-06-14 06:08:47","2022-06-14 06:08:47",NULL,NULL,"11",NULL
"102","2022-06-17","Meal","Crespo Burger","Ayşe ile akşam yemeği","162.00","1.00","₺","2022-06-17 13:11:11","2022-06-17 13:11:11",NULL,NULL,"3",NULL
"103","2022-06-17","Health","Sena Çilingir","Ayşe seans.","400.00","1.00","₺","2022-06-17 13:14:56","2022-06-17 13:14:56",NULL,NULL,"9",NULL
"104","2022-06-17","Meal","Maçka Çorba","Ayşe ile çorbacıda 2 kellepaça.","105.00","1.00","₺","2022-06-17 22:21:33","2022-06-17 22:21:33",NULL,NULL,"3",NULL
"105","2022-06-20","Meal","Profiterol Atölyesi","Ayşe ile profiterol.","67.00","1.00","₺","2022-06-20 05:06:16","2022-06-20 05:06:16",NULL,NULL,"3",NULL
"106","2022-06-20","Meal","Zenka","Ayşe ile akşam yemeği.","132.00","1.00","₺","2022-06-22 04:37:15","2022-06-22 04:37:15",NULL,NULL,"3",NULL
"107","2022-06-23","Hobby","The Intro","Milonga girişi.","40.00","2.00","₺","2022-06-24 06:19:11","2022-06-24 06:19:11",NULL,NULL,"14",NULL
"108","2022-06-23","Meal","Zenka","Lahmacun","25.00","2.00","₺","2022-06-24 06:27:08","2022-06-24 06:27:08",NULL,NULL,"3",NULL
"109","2022-06-03","Coffee","Doğa Restorant","Ekiple Türk Kahvesi.","54.40","1.00","₺","2022-06-24 06:29:47","2022-06-24 06:29:47",NULL,NULL,"11",NULL
"110","2022-05-22","Meal","Ciğerci Bahattin","Akşam yemeği","213.00","1.00","₺","2022-06-24 06:44:42","2022-06-24 06:44:42",NULL,NULL,"3",NULL
"111","2022-06-23","Tax-Penalty Charge","UK Gov","Gecikmiş Dartford cezası.","107.50","1.00","₺","2022-06-24 07:01:16","2022-06-24 07:01:16",NULL,NULL,"13",NULL
"112","2022-06-23","Health","Sena Çilingir","Ayşe seans.","700.00","1.00","₺","2022-06-24 15:02:19","2022-06-24 15:02:19",NULL,NULL,"9",NULL
"113","2022-06-24","Meal","Tavuk Dünyası","Akşam yemeği.","66.95","1.00","₺","2022-06-24 17:32:45","2022-06-24 17:32:45",NULL,NULL,"3",NULL
"114","2022-06-24","Coffee","Starbucks","Amerikano","18.00","1.00","₺","2022-06-25 05:13:56","2022-06-25 05:13:56",NULL,NULL,"11",NULL
"115","2022-06-24","Collection","Opet","2 kitap.","45.50","1.00","₺","2022-06-25 05:15:44","2022-06-25 05:15:44",NULL,NULL,"4",NULL
"116","2022-06-24","Market","Opet","Market alışverişi.","49.75","1.00","₺","2022-06-25 05:16:14","2022-06-25 05:16:14",NULL,NULL,"1",NULL
"117","2022-06-25","Hobby","Ivır Zıvır","Müzik kitabı","150.00","1.00","₺","2022-06-25 16:31:49","2022-06-25 16:31:49",NULL,NULL,"14",NULL
"118","2022-06-25","Benefaction","Kızılay","Bağış","10.00","1.00","₺","2022-06-25 16:32:50","2022-06-25 16:32:50",NULL,NULL,"7",NULL
"119","2022-06-25","Fuel","Opet","122778. km akaryakıt.","27.30","35.53","₺","2022-06-25 16:42:25","2022-06-25 16:42:25",NULL,NULL,"2",NULL
"120","2022-06-26","Hobby","A101","Drone için Micro SD kart.","79.95","1.00","₺","2022-06-26 14:24:18","2022-06-26 14:24:18",NULL,NULL,"14",NULL
"121","2022-06-28","Meal","İnci Balık","Ayşe ile akşam yemeği.","300.00","1.00","₺","2022-06-28 15:33:07","2022-06-28 15:33:07",NULL,NULL,"3",NULL
"122","2022-06-28","Market","Rimal","Sakız","7.50","2.00","₺","2022-06-28 15:45:13","2022-06-28 15:45:13",NULL,NULL,"1",NULL
"123","2022-06-28","Alcohol","262","Bira","45.00","2.00","₺","2022-06-28 19:34:40","2022-06-28 19:34:40",NULL,NULL,"10",NULL
"124","2022-06-29","Meal","Konakoğlu","Ayşe ile yemek.","116.00","1.00","₺","2022-06-29 09:52:00","2022-06-29 09:52:00",NULL,NULL,"3",NULL
"125","2022-06-29","Benefaction","Boğaziçi Pişmaniye","Hediye","150.00","1.00","₺","2022-06-29 10:25:31","2022-06-29 10:25:31",NULL,NULL,"7",NULL
"126","2022-06-29","Collection","Oyuncakçı","Pokemon kartı.","79.99","1.00","₺","2022-06-29 10:26:09","2022-06-29 10:26:09",NULL,NULL,"4",NULL
"127","2022-06-29","Coffee","Kahve Dünyası","Ayşe ile kahve.","56.00","1.00","₺","2022-06-29 10:26:36","2022-06-29 10:26:36",NULL,NULL,"11",NULL
"128","2022-06-29","Market","Konakoğlu","Susurluk Tostu","34.00","1.00","₺","2022-06-29 10:27:30","2022-06-29 10:27:30",NULL,NULL,"1",NULL
"129","2022-06-29","Fuel","Opet","123269. km akaryakıt.","27.49","30.19","₺","2022-06-29 12:14:51","2022-06-29 12:14:51",NULL,NULL,"2",NULL
"130","2022-07-02","Fuel","Opet","123856. km akaryakıt.","25.24","39.22","₺","2022-07-02 13:30:59","2022-07-02 13:30:59",NULL,NULL,"2",NULL
"131","2022-07-05","Collection","BJK Store","Atkı 2 adet.","159.98","1.00","₺","2022-07-06 06:07:28","2022-07-06 06:07:28",NULL,NULL,"4",NULL
"132","2022-07-05","Fuel","Shell","124489. km akaryakıt.","25.38","36.77","₺","2022-07-06 06:08:45","2022-07-06 06:08:45",NULL,NULL,"2",NULL
"133","2022-07-05","Collection","Toyzz Shop","Pokemon Booster kart.","49.99","2.00","₺","2022-07-06 06:09:48","2022-07-06 06:09:48",NULL,NULL,"4",NULL
"134","2022-06-30","Transportation","Gestaş","Bozcaada vapur ücreti.","30.00","2.00","₺","2022-07-06 06:10:43","2022-07-06 06:10:43",NULL,NULL,"6",NULL
"135","2022-06-22","Hobby","Koçtaş","Mangal ve kamp sandalyesi.","380.00","1.00","₺","2022-07-06 06:11:50","2022-07-06 06:11:50",NULL,NULL,"14",NULL
"136","2022-07-07","Meal","Pişkin Simit","Tek kahvaltı","40.00","1.00","₺","2022-07-07 04:39:57","2022-07-07 04:39:57",NULL,NULL,"3",NULL
"137","2022-07-07","Coffee","Starbucks","Amerikano","24.50","1.00","₺","2022-07-07 05:20:29","2022-07-07 05:20:29",NULL,NULL,"11",NULL
"138","2022-07-07","Collection","Şok","Kitap","9.99","1.00","₺","2022-07-07 17:52:19","2022-07-07 17:52:19",NULL,NULL,"4",NULL
"139","2022-07-07","Market","Sebil AVM","Çöp poşeti fırça vs.","86.70","1.00","₺","2022-07-07 17:53:13","2022-07-07 17:53:13",NULL,NULL,"1",NULL
"140","2022-07-14","Fuel","Opet","125093. km akaryakıt.","23.70","37.55","₺","2022-07-14 17:41:49","2022-07-14 17:41:49",NULL,NULL,"2",NULL
"141","2022-07-26","Fuel","Total","125681. km akaryakıt.","22.24","39.82","₺","2022-07-26 21:19:51","2022-07-26 21:19:51",NULL,NULL,"2",NULL
"142","2022-07-29","Health","Bünyamin İrak","Seans ücreti","400.00","2.00","₺","2022-07-29 15:58:59","2022-07-29 15:58:59",NULL,NULL,"9",NULL
"143","2022-07-18","Health","Bünyamin İrak","Seans.","400.00","1.00","₺","2022-08-05 07:16:53","2022-08-05 07:16:53",NULL,NULL,"9",NULL
"144","2022-06-21","Accommodation","Orçun Sakarya","Asos Tango Kamp 2022","3450.00","2.00","₺","2022-08-05 09:45:03","2022-08-05 09:45:03",NULL,NULL,"16",NULL
"145","2022-08-01","Accommodation","Orçun Sakarya","Asos Tango Kamp 2023","4450.00","2.00","₺","2022-08-05 09:46:03","2022-08-05 09:46:03",NULL,NULL,"16",NULL
"146","2022-07-30","Hobby","Ayakkabıcı","Tango Ayakkabısı","330.00","1.00","₺","2022-08-05 09:46:47","2022-08-05 09:46:47",NULL,NULL,"14",NULL
"147","2022-08-05","Savings","Hasan Adil Yaman","Myra Peşinat Ödemesi","5000.00","1.00","₺","2022-08-05 09:47:37","2022-08-05 09:47:37",NULL,NULL,"8",NULL
"148","2022-07-06","Savings","Hasan Adil Yaman","Myra Peşinat Ödemesi","5000.00","1.00","₺","2022-08-05 09:48:22","2022-08-05 09:48:22",NULL,NULL,"8",NULL
"149","2022-08-04","Benefaction","Mahmut Kozluca","Mahmut'un kanser olan akrabasına destek.","300.00","1.00","₺","2022-08-05 09:50:17","2022-08-05 09:50:17",NULL,NULL,"7",NULL
"150","2022-08-03","Barber","Murat Söyük","Saç kesimi.","100.00","1.00","₺","2022-08-05 09:51:21","2022-08-05 09:51:21",NULL,NULL,"12",NULL
"151","2022-08-14","Alcohol","Hayal Kahvesi","Bomonti Filtresiz","70.00","1.00","₺","2022-08-15 14:18:33","2022-08-15 14:18:33",NULL,NULL,"10",NULL
"152","2022-08-13","Alcohol","262 Live","Tuborg şişe.","50.00","3.00","₺","2022-08-15 14:19:12","2022-08-15 14:19:12",NULL,NULL,"10",NULL
"153","2022-08-26","Collection","Migros","4 adet kitap.","128.90","1.00","₺","2022-08-26 13:36:56","2022-08-26 13:36:56",NULL,NULL,"4",NULL
"154","2022-08-28","Alcohol","262 Live","2 bira.","95.00","1.00","₺","2022-08-28 19:34:47","2022-08-28 19:34:47",NULL,NULL,"10",NULL
"155","2022-07-14","Health","Medikal Park","Check-up ücreti.","2970.00","1.00","₺","2022-08-31 09:14:41","2022-08-31 09:14:41",NULL,NULL,"9",NULL
"156","2022-08-31","Meal","McDonald's","Akşam yemeği.","65.00","1.00","₺","2022-08-31 12:40:49","2022-08-31 12:40:49",NULL,NULL,"3",NULL
"157","2022-09-02","Meal","Shell","Kahvaltı kahve ve sandiviç.","53.40","1.00","₺","2022-09-02 04:41:09","2022-09-02 04:41:09",NULL,NULL,"3",NULL
"158","2022-09-02","Meal","Köşem","Öğle yemeği.","62.00","1.00","₺","2022-09-02 08:59:08","2022-09-02 08:59:08",NULL,NULL,"3",NULL
"159","2022-09-02","Alcohol","262 Live","4 adet bira.","172.00","1.00","₺","2022-09-02 21:56:49","2022-09-02 21:56:49",NULL,NULL,"10",NULL
"160","2022-09-02","Meal","Maçka Çorba","1 kelle paça","48.00","1.00","₺","2022-09-02 21:57:08","2022-09-02 21:57:08",NULL,NULL,"3",NULL
"161","2022-09-03","Fuel","Opet","128685. km akaryakıt.","18.74","36.83","₺","2022-09-03 16:59:46","2022-09-03 16:59:46",NULL,NULL,"2",NULL
"162","2022-09-04","Market","Bim","Market alışverişi.","119.25","1.00","₺","2022-09-04 07:54:50","2022-09-04 07:54:50",NULL,NULL,"1",NULL
